,carat,cut,color,clarity,depth,table,x,z,price
54,1.05,2,2,7,62.8,57.0,6.51,4.02,9138.0
55,1.1,2,2,5,61.5,56.0,6.63,4.09,9669.0
56,0.72,4,3,2,62.8,60.0,5.78,3.6,2396.0
57,0.59,4,4,7,60.2,57.0,5.39,3.32,1771.0
58,0.3,4,4,2,62.9,58.0,4.22,2.66,421.0
59,0.5,2,0,4,60.6,57.0,5.15,3.13,2454.0
60,1.19,3,5,3,61.6,56.0,6.87,4.22,4558.0
61,0.72,3,1,2,62.1,58.0,5.69,3.54,2265.0
62,1.55,1,3,0,63.6,58.0,7.31,4.65,4965.0
63,2.15,2,5,2,60.9,56.0,8.38,5.1,13006.0
64,1.0,2,4,6,62.3,60.0,6.36,3.94,6132.0
65,1.81,3,5,5,62.8,58.0,7.77,4.84,12939.0
66,0.55,4,2,2,63.1,56.0,5.22,3.3,1138.0
67,0.74,3,1,5,60.2,60.0,5.84,3.51,2621.0
68,0.4,2,3,1,61.7,57.0,4.7,2.94,882.0
69,0.76,1,1,2,61.4,60.0,5.69,3.64,2326.0
70,0.81,2,0,2,61.9,56.0,5.82,3.83,3043.0
71,0.3,2,1,7,62.0,57.0,4.34,2.67,684.0
72,0.36,2,3,7,61.8,55.0,4.57,2.84,888.0
73,0.81,4,3,2,62.3,59.0,5.93,3.71,3095.0
74,1.02,3,0,3,62.5,59.0,6.38,4.0,4818.0
75,1.2,3,6,2,58.9,59.0,6.91,4.11,5524.0
76,0.71,0,2,2,59.8,70.0,5.89,3.48,2458.0
77,0.42,3,3,5,60.6,58.0,4.83,2.94,847.0
78,1.41,3,4,5,61.2,60.0,7.17,4.4,8654.0
79,0.3,4,4,2,63.1,54.0,4.34,2.71,819.0
80,1.01,4,2,5,62.0,59.0,6.38,3.97,6159.0
81,1.52,0,0,2,64.6,64.0,7.18,4.63,9704.0
82,0.4,2,3,5,62.6,56.0,4.69,2.95,804.0
83,0.8,3,4,2,62.5,58.0,5.96,3.72,2553.0
84,0.48,1,2,2,59.0,60.9,5.09,3.02,1402.0
85,0.9,3,4,2,59.0,59.0,6.34,3.73,3508.0
86,0.73,3,0,5,59.8,58.0,5.85,3.51,3308.0
87,0.7,2,6,2,61.7,57.0,5.65,3.5,1979.0
88,0.41,2,1,7,61.2,56.0,4.78,2.93,1115.0
89,0.57,1,6,5,63.3,56.0,5.28,3.33,2117.0
90,1.5,4,1,4,59.5,61.0,7.45,4.43,16988.0
91,1.29,2,0,4,62.4,55.0,6.93,4.34,13485.0
92,0.72,4,3,4,60.1,63.0,5.86,3.51,3024.0
93,1.13,2,1,7,60.1,59.0,6.82,4.08,11387.0
94,1.2,3,2,4,61.8,58.0,6.79,4.19,8669.0
95,1.0,2,3,5,62.3,56.0,6.43,3.97,5887.0
96,1.2,4,3,2,62.8,57.0,6.7,4.24,5607.0
97,0.52,4,2,7,61.5,57.0,5.18,3.19,2079.0
98,0.31,0,1,2,56.9,66.0,4.53,2.56,579.0
99,0.71,1,3,5,63.6,56.0,5.51,3.63,2274.0
100,1.24,2,2,4,60.9,54.0,6.92,4.24,10138.0
101,0.7,4,1,3,63.2,57.0,5.7,3.59,2596.0
102,1.15,4,4,4,63.2,56.0,6.65,4.18,7040.0
103,0.71,4,6,3,59.7,60.0,5.79,3.47,2123.0
104,0.72,2,6,4,62.7,57.0,5.74,3.59,2112.0
105,1.21,2,5,5,61.3,60.0,6.77,4.22,6135.0
106,0.32,3,0,5,62.9,59.0,4.39,2.75,842.0
107,1.01,4,3,3,63.1,55.0,6.36,4.0,3507.0
108,0.75,0,0,2,64.5,60.0,5.65,3.61,2363.0
109,0.4,4,3,4,63.2,57.0,4.73,2.98,810.0
110,0.37,2,3,2,61.1,56.0,4.64,2.84,531.0
111,0.71,2,5,6,62.3,56.0,5.7,3.56,2946.0
112,0.53,2,3,4,61.5,57.0,5.21,3.21,1791.0
113,1.22,2,4,2,61.8,57.0,6.85,4.23,6776.0
114,0.32,3,3,7,62.6,58.0,4.37,2.73,936.0
115,0.31,2,0,2,60.8,56.0,4.37,2.64,732.0
116,1.09,2,2,7,61.8,55.0,6.6,4.1,9845.0
117,0.71,4,1,3,62.1,57.0,5.71,3.55,2123.0
118,1.02,4,2,3,62.9,59.0,6.33,3.95,4162.0
119,1.09,2,2,3,61.6,54.0,6.69,4.1,3882.0
120,0.32,4,4,5,63.0,56.0,4.35,2.75,505.0
121,0.52,2,2,4,61.7,56.0,5.14,3.18,1778.0
122,1.02,2,3,5,62.8,56.0,6.45,4.04,6796.0
123,0.32,2,4,3,61.9,54.0,4.42,2.75,420.0
124,0.7,3,0,2,58.8,59.0,5.86,3.44,2357.0
125,0.7,3,2,3,59.6,58.0,5.79,3.42,2234.0
126,0.9,1,1,5,63.9,57.0,6.12,3.9,3795.0
127,0.26,3,1,6,60.3,58.0,4.09,2.55,769.0
128,0.72,1,1,5,63.0,57.0,5.69,3.6,2923.0
129,0.55,2,0,5,61.7,57.0,5.21,3.23,1848.0
130,2.04,3,2,3,60.2,58.0,8.24,4.94,18231.0
131,0.46,1,0,5,63.2,56.0,4.89,3.1,1205.0
132,0.32,2,4,1,60.9,56.0,4.41,2.69,842.0
133,0.53,2,3,4,62.4,57.0,5.16,3.22,1812.0
134,0.33,4,3,4,61.0,57.0,4.46,2.72,652.0
135,1.01,4,1,3,60.0,60.0,6.57,3.92,4540.0
136,1.55,2,6,5,61.4,55.0,7.44,4.58,9404.0
137,0.45,1,1,3,64.1,62.0,4.82,3.07,1013.0
138,0.23,1,2,4,63.2,58.0,3.86,2.45,376.0
139,1.24,4,5,5,60.1,58.0,6.97,4.2,5783.0
140,0.43,3,3,6,62.3,59.0,4.83,2.99,1264.0
141,1.1,2,4,2,61.4,55.0,6.59,4.11,5424.0
142,0.9,2,4,5,61.9,58.0,6.2,3.81,4403.0
143,0.38,2,1,2,61.6,56.0,4.67,2.87,1069.0
144,2.28,3,4,3,61.9,61.0,8.42,5.18,13512.0
145,0.3,4,4,6,63.0,58.0,4.22,2.67,684.0
146,2.01,2,1,3,62.1,57.0,8.0,4.93,12961.0
147,1.31,3,5,5,60.0,58.0,7.15,4.28,6921.0
148,0.35,3,3,6,61.8,57.0,4.53,2.79,748.0
149,1.02,3,1,5,59.7,58.0,6.51,3.92,6397.0
150,0.57,3,1,2,62.0,57.0,5.26,3.28,1429.0
151,0.71,4,1,2,59.6,62.0,5.72,3.45,2629.0
152,0.3,2,0,7,62.4,54.0,4.3,2.69,814.0
153,1.2,3,4,5,62.5,59.0,6.76,4.21,6870.0
154,1.0,4,0,5,61.2,61.0,6.35,3.9,6190.0
155,0.51,1,2,2,63.3,57.0,5.06,3.21,1423.0
156,0.4,3,0,3,60.7,60.0,4.74,2.85,666.0
157,0.26,4,4,4,60.4,57.0,4.0,2.54,491.0
158,1.2,2,4,4,60.9,57.0,6.87,4.19,8852.0
159,1.69,3,6,0,62.4,60.0,7.59,4.71,6436.0
160,0.58,2,0,2,61.2,57.0,5.38,3.3,1436.0
161,0.77,4,3,4,61.1,54.0,5.9,3.62,3197.0
162,0.3,2,3,4,61.8,56.0,4.3,2.67,624.0
163,1.71,3,0,3,60.6,59.0,7.76,4.68,13325.0
164,0.76,3,3,3,62.6,55.0,5.91,3.66,1970.0
165,1.01,2,1,2,62.2,57.0,6.41,3.97,5973.0
166,0.9,4,1,2,60.1,58.0,6.25,3.77,4034.0
167,0.9,2,3,3,61.8,56.0,6.21,3.85,3557.0
168,0.31,3,0,5,62.6,59.0,4.3,2.7,734.0
169,1.11,4,4,2,63.2,56.0,6.61,4.16,4848.0
170,1.01,4,2,2,62.7,57.0,6.32,3.98,5174.0
171,0.34,2,0,2,62.7,56.0,4.45,2.8,626.0
172,0.79,4,1,5,63.3,56.3,5.85,3.71,3138.0
173,1.15,4,3,2,60.0,62.0,6.68,4.11,5538.0
174,0.38,4,2,4,61.4,61.0,4.66,2.87,746.0
175,0.51,0,3,2,65.2,55.0,5.05,3.28,1232.0
176,1.32,4,5,4,63.5,58.0,6.89,4.39,6793.0
177,0.52,2,4,4,62.0,55.0,5.15,3.2,1265.0
178,0.41,2,2,4,61.5,56.0,4.77,2.94,899.0
179,0.32,2,0,5,62.6,55.0,4.37,2.74,842.0
180,0.9,1,2,3,61.3,59.0,6.12,3.76,3621.0
181,1.64,4,2,2,62.8,59.0,7.57,4.72,12555.0
182,1.52,4,3,5,60.9,61.0,7.41,4.5,12738.0
183,0.31,2,0,5,61.5,56.0,4.37,2.7,734.0
184,1.09,2,0,3,62.1,56.0,6.59,4.08,5258.0
185,0.4,4,0,5,62.8,58.0,4.66,2.94,993.0
186,0.73,3,0,2,62.5,59.0,5.75,3.57,2579.0
187,2.01,3,4,2,61.5,53.0,8.13,4.97,16733.0
188,0.7,2,1,2,62.3,56.0,5.68,3.52,1758.0
189,0.39,3,2,6,62.7,57.0,4.67,2.92,1290.0
190,2.3,3,5,3,61.3,58.0,8.53,5.13,11051.0
191,0.26,4,1,7,63.0,58.0,4.0,2.53,597.0
192,0.7,2,1,5,61.7,55.0,5.7,3.54,2573.0
193,1.27,4,0,2,62.5,58.0,6.87,4.31,8312.0
194,0.52,2,0,5,62.8,58.0,5.14,3.22,1842.0
195,0.34,3,4,4,61.3,56.0,4.53,2.76,765.0
196,0.42,3,2,6,60.3,59.0,4.83,2.92,1142.0
197,0.42,2,3,1,62.3,55.0,4.82,2.98,1289.0
198,0.35,2,1,4,61.9,56.0,4.53,2.8,1063.0
199,2.01,3,4,3,62.2,61.0,8.08,5.01,15673.0
200,0.32,2,1,6,60.3,56.0,4.41,2.72,748.0
201,0.71,3,2,2,59.9,59.0,5.88,3.47,3077.0
202,0.33,4,3,6,61.8,55.0,4.44,2.76,795.0
203,0.32,2,2,5,62.2,55.0,4.35,2.71,645.0
204,1.5,0,1,3,64.9,59.0,7.14,4.62,4704.0
205,1.05,3,3,3,61.3,58.0,6.55,4.03,4241.0
206,1.33,3,2,3,60.7,62.0,7.12,4.38,5288.0
207,1.16,2,4,4,62.8,57.0,6.69,4.17,7294.0
208,2.01,3,6,3,59.2,60.0,8.19,4.91,13574.0
209,1.16,4,3,3,63.4,56.0,6.56,4.19,4066.0
210,0.83,2,4,3,61.8,57.0,6.08,3.73,1863.0
211,2.01,2,5,2,62.8,57.0,8.04,5.03,10389.0
212,0.32,2,3,1,60.9,57.0,4.41,2.7,918.0
213,0.56,2,0,2,62.5,55.0,5.24,3.28,1723.0
214,0.71,4,5,6,63.3,57.0,5.65,3.59,2559.0
215,2.01,3,1,3,58.9,60.0,8.24,4.84,17179.0
216,0.3,2,0,7,61.7,55.0,4.33,2.68,814.0
217,1.83,4,3,5,60.5,59.0,7.89,4.8,18358.0
218,0.24,2,2,4,62.3,57.0,3.99,2.49,436.0
219,1.2,4,5,4,63.1,56.0,6.7,4.2,5322.0
220,0.3,2,5,5,61.5,58.0,4.26,2.64,438.0
221,1.03,2,6,3,61.6,56.0,6.52,4.0,4283.0
222,0.53,2,3,5,60.9,57.0,5.21,3.18,1598.0
223,1.0,2,3,4,62.7,53.0,6.39,4.03,7114.0
224,0.9,1,1,2,64.7,54.0,6.01,3.92,3954.0
225,0.73,2,4,3,61.5,55.0,5.82,3.58,2896.0
226,0.9,1,3,4,63.6,58.0,6.09,3.88,4540.0
227,0.32,2,3,1,62.6,54.0,4.4,2.73,918.0
228,0.9,4,0,2,61.7,60.0,6.14,3.8,4466.0
229,1.01,2,5,5,64.1,58.0,6.09,4.0,4297.0
230,0.53,2,6,5,62.6,53.0,5.25,3.27,1038.0
231,0.36,2,2,2,61.5,57.0,4.55,2.81,483.0
232,1.12,2,5,2,60.3,57.0,6.74,4.08,6143.0
233,1.5,2,2,5,61.9,56.0,7.33,4.53,14915.0
234,1.01,4,2,3,63.2,58.0,6.43,4.02,4299.0
235,1.52,3,4,4,60.6,58.0,7.31,4.5,12047.0
236,0.41,2,3,4,61.4,55.0,4.8,2.93,1123.0
237,0.71,2,2,4,61.8,55.0,5.71,3.54,3710.0
238,0.5,2,2,2,61.2,56.0,5.12,3.14,1555.0
239,1.54,3,3,2,61.0,59.0,7.43,4.52,12592.0
240,0.72,2,5,7,61.2,53.0,5.75,3.6,2340.0
241,1.2,4,6,3,63.3,55.0,6.68,4.27,5645.0
242,0.57,2,4,5,61.1,55.0,5.37,3.3,1725.0
243,1.02,4,0,2,62.7,55.0,6.42,4.05,5839.0
244,1.0,0,6,2,64.7,57.0,6.35,3.98,4008.0
245,1.74,2,4,5,61.5,57.0,7.79,4.77,13761.0
246,0.34,2,1,5,62.4,54.0,4.47,2.8,745.0
247,0.34,2,3,1,61.7,55.0,4.48,2.77,1014.0
248,0.7,1,0,2,64.2,58.0,5.62,3.6,1865.0
249,0.48,1,3,4,58.6,62.0,5.14,3.03,1294.0
250,1.01,3,1,3,59.5,60.0,6.59,3.9,3801.0
251,0.31,3,1,5,62.1,58.0,4.39,2.69,684.0
252,1.52,3,0,2,62.0,58.0,7.37,4.58,11595.0
253,0.33,1,5,2,63.1,55.0,4.38,2.78,567.0
254,0.32,3,4,5,61.0,60.0,4.35,2.67,505.0
255,1.04,3,4,5,61.2,59.0,6.57,4.0,5561.0
256,1.07,2,1,5,61.8,58.0,6.53,4.06,7240.0
257,0.3,3,0,4,60.7,58.0,4.36,2.64,848.0
258,0.3,0,0,2,64.6,54.0,4.29,2.76,536.0
259,0.5,4,3,3,58.6,61.0,5.16,3.04,983.0
260,0.72,2,3,2,62.4,58.0,5.71,3.58,2139.0
261,1.1,3,1,7,60.1,58.0,6.69,4.04,10577.0
262,1.01,4,4,2,62.9,59.0,6.34,4.01,5433.0
263,0.4,3,1,7,61.4,56.0,4.81,2.93,1056.0
264,0.33,2,0,2,62.7,55.0,4.35,2.77,780.0
265,0.31,1,3,6,58.0,62.0,4.42,2.58,761.0
266,0.33,2,4,7,61.6,55.0,4.48,2.77,633.0
267,1.77,2,0,3,61.8,57.0,7.71,4.78,13026.0
268,0.4,4,1,1,62.9,58.0,4.68,2.97,1207.0
269,0.7,3,4,2,62.3,58.0,5.67,3.55,2196.0
270,1.11,4,4,5,62.4,59.0,6.57,4.14,5450.0
271,1.59,2,4,4,60.7,56.0,7.57,4.59,13839.0
272,1.02,1,5,4,63.7,58.0,6.33,4.01,4478.0
273,0.7,2,2,2,62.8,56.0,5.63,3.55,2528.0
274,1.0,3,1,3,62.2,59.0,6.38,3.96,4390.0
275,1.08,4,2,3,63.4,55.0,6.53,4.11,3847.0
276,1.01,4,3,3,60.5,58.0,6.52,3.93,4746.0
277,0.7,3,2,2,62.6,56.0,5.84,3.49,2394.0
278,0.4,2,2,7,62.4,56.0,4.74,2.95,1163.0
279,0.73,4,3,7,61.4,58.0,5.82,3.59,3288.0
280,1.13,2,5,6,61.6,57.0,6.67,4.12,7459.0
281,1.51,3,3,2,60.4,58.0,7.46,4.48,12394.0
282,0.55,3,4,3,59.8,59.0,5.33,3.18,1011.0
283,0.38,4,3,2,60.3,59.0,4.71,2.86,790.0
284,1.22,3,0,3,61.9,60.0,6.88,4.24,6969.0
285,1.12,2,3,3,61.3,55.0,6.74,4.12,4670.0
286,0.32,4,5,2,63.5,57.0,4.33,2.74,540.0
287,0.86,2,3,3,61.9,55.0,6.11,3.79,3442.0
288,0.53,4,5,5,60.3,60.1,5.22,3.16,1190.0
289,0.61,4,0,2,59.0,57.0,5.54,3.28,1759.0
290,2.03,0,4,0,66.6,57.0,7.81,5.12,6002.0
291,0.7,2,0,7,61.1,56.0,5.75,3.52,5539.0
292,0.53,2,3,7,61.7,56.0,5.2,3.21,1948.0
293,0.55,4,2,2,63.3,55.0,5.21,3.29,1449.0
294,1.19,2,4,4,62.5,54.0,6.78,4.17,7466.0
295,0.4,1,3,3,63.1,59.0,4.65,2.95,596.0
296,0.3,2,3,5,62.0,56.0,4.28,2.66,556.0
297,0.53,2,1,2,61.4,56.0,5.21,3.21,1415.0
298,0.41,3,5,7,62.4,60.0,4.7,2.94,827.0
299,1.33,3,1,3,62.0,57.0,7.15,4.41,7341.0
300,0.41,3,1,3,61.3,57.0,4.83,2.95,863.0
301,1.34,3,5,5,61.8,59.0,7.07,4.36,6754.0
302,1.01,2,2,5,61.9,54.0,6.45,4.0,7014.0
303,2.22,3,6,4,60.0,60.0,8.49,5.08,18706.0
304,0.72,2,4,4,61.9,56.0,5.74,3.56,2585.0
305,0.25,2,2,4,61.6,57.0,4.07,2.52,436.0
306,1.51,2,5,4,63.2,57.0,7.32,4.62,8901.0
307,0.72,2,5,2,62.4,55.0,5.72,3.58,2868.0
308,0.34,2,1,1,61.7,56.0,4.48,2.76,1243.0
309,1.14,2,4,3,60.7,56.0,6.71,4.18,4150.0
310,0.53,4,0,7,60.5,58.0,5.28,3.19,2542.0
311,0.97,3,0,3,62.0,58.0,6.4,3.86,3585.0
312,0.7,1,2,2,57.9,59.0,5.8,3.37,2190.0
313,0.9,1,1,5,64.1,58.0,6.04,3.89,3595.0
314,0.51,2,1,2,61.3,55.0,5.17,3.15,1546.0
315,0.38,2,3,5,61.2,55.0,4.69,2.88,778.0
316,0.92,3,0,3,62.5,58.0,6.24,3.89,3047.0
317,0.7,4,0,6,61.5,63.0,5.78,3.51,3920.0
318,0.31,2,0,7,61.9,57.0,4.36,2.71,766.0
319,0.23,2,4,6,61.1,55.0,3.98,2.44,484.0
320,0.3,2,4,4,61.6,55.0,4.3,2.64,675.0
321,1.23,2,5,3,61.8,55.0,6.87,4.26,5820.0
322,1.23,3,0,3,58.0,59.0,6.99,4.06,4470.0
323,1.0,3,4,3,59.4,60.0,6.49,3.83,3080.0
324,0.33,2,4,4,61.6,55.0,4.46,2.75,610.0
325,0.41,0,5,4,64.2,57.0,4.73,3.03,735.0
326,0.32,4,2,6,63.2,58.0,4.35,2.74,828.0
327,0.34,2,2,2,63.0,54.0,4.5,2.83,727.0
328,0.55,2,5,2,61.6,55.0,5.27,3.25,1281.0
329,0.31,3,1,5,60.5,60.0,4.34,2.66,680.0
330,0.9,1,1,3,63.6,59.0,6.05,3.86,3584.0
331,0.72,2,1,4,60.4,56.0,5.87,3.52,3005.0
332,0.3,3,1,1,61.9,58.0,4.3,2.65,1097.0
333,0.9,1,2,2,61.9,64.0,6.0,3.74,3567.0
334,0.4,1,3,6,59.1,61.0,4.86,2.88,1013.0
335,0.78,4,1,4,62.1,58.0,6.0,3.61,3601.0
336,1.0,1,0,2,64.1,57.0,6.32,4.04,6020.0
337,0.41,2,3,1,61.0,57.0,4.79,2.93,1367.0
338,0.32,2,2,6,61.7,56.0,4.42,2.72,990.0
339,0.46,4,2,4,61.5,56.0,4.98,3.08,809.0
340,0.71,3,4,2,62.3,61.0,5.65,3.51,2049.0
341,1.3,3,2,2,61.4,59.0,7.01,4.29,8164.0
342,0.54,2,4,5,62.2,58.0,5.33,3.19,1439.0
343,0.51,1,2,2,63.8,57.0,5.06,3.22,1274.0
344,1.28,3,0,3,61.2,58.0,7.09,4.3,6936.0
345,0.32,3,4,6,62.5,58.0,4.37,2.72,936.0
346,0.73,2,0,5,61.5,55.0,5.79,3.57,3980.0
347,1.32,4,5,3,61.2,58.0,7.12,4.34,6300.0
348,1.02,3,1,5,58.4,57.0,6.84,3.89,6854.0
349,0.31,2,3,1,61.0,56.0,4.39,2.67,988.0
350,0.5,4,1,4,62.6,57.0,5.05,3.16,1755.0
351,1.7,3,6,6,62.9,60.0,7.61,4.77,11005.0
352,1.51,4,1,5,62.4,58.0,7.29,4.55,13623.0
353,2.01,4,5,2,58.9,63.0,8.22,4.82,15140.0
354,0.28,3,1,6,61.3,60.0,4.21,2.57,828.0
355,0.5,4,1,5,63.1,56.0,5.06,3.2,1584.0
356,0.31,2,2,7,61.5,56.0,4.34,2.68,917.0
357,1.52,4,5,2,63.3,59.0,7.26,4.58,7506.0
358,1.61,3,4,4,62.5,58.0,7.57,4.7,12242.0
359,0.5,3,0,2,60.7,61.0,5.12,3.1,1654.0
360,1.03,3,4,4,62.5,59.0,6.43,4.03,5523.0
361,1.01,2,2,5,61.9,55.0,6.47,3.99,6787.0
362,0.95,4,4,3,59.0,59.0,6.38,3.77,3335.0
363,0.31,2,6,7,62.0,56.1,4.31,2.68,468.0
364,1.05,4,3,3,63.5,57.0,6.39,4.07,4427.0
365,0.7,0,2,2,64.8,60.0,5.57,3.6,2812.0
366,0.7,3,2,4,60.4,58.0,5.71,3.46,2874.0
367,2.14,1,0,2,60.3,60.0,8.31,5.05,18526.0
368,1.03,2,2,4,59.0,55.0,6.62,3.92,7613.0
369,0.7,4,3,2,62.5,60.0,5.64,3.54,2042.0
370,0.32,2,4,5,61.5,55.0,4.41,2.72,523.0
371,0.5,3,1,4,61.9,59.0,5.1,3.15,2055.0
372,0.35,2,4,1,60.8,56.0,4.61,2.81,931.0
373,0.4,3,3,2,62.8,60.0,4.7,2.94,900.0
374,0.5,2,0,5,60.1,59.0,5.14,3.1,1646.0
375,0.3,3,0,4,61.2,59.0,4.34,2.64,914.0
376,0.7,2,5,7,62.4,53.6,5.68,3.55,2487.0
377,1.51,1,5,3,63.6,60.0,7.27,4.61,7957.0
378,0.83,4,0,3,61.1,60.0,6.07,3.72,2788.0
379,0.5,1,3,2,63.6,55.0,5.1,3.21,1197.0
380,0.54,2,4,6,61.4,57.0,5.32,3.2,1944.0
381,0.71,4,1,7,60.3,52.0,5.8,3.5,3760.0
382,0.34,2,1,4,62.6,55.0,4.46,2.8,565.0
383,0.7,0,3,2,64.8,59.0,5.58,3.63,2016.0
384,0.3,2,2,5,60.4,56.0,4.34,2.63,842.0
385,0.71,2,5,4,61.4,57.0,5.72,3.52,2513.0
386,0.34,1,3,4,63.1,57.0,4.4,2.79,842.0
387,1.02,3,0,5,62.5,58.0,6.4,3.99,7643.0
388,0.5,1,3,6,63.3,56.0,5.07,3.22,1966.0
389,1.33,3,2,1,60.2,56.0,7.18,4.3,18435.0
390,1.02,3,3,6,61.5,59.0,6.41,3.96,11062.0
391,0.7,2,0,2,59.7,58.0,5.68,3.46,2822.0
392,0.49,3,6,2,62.4,58.0,5.05,3.13,1072.0
393,1.72,4,0,3,63.4,62.0,7.59,4.79,15072.0
394,0.41,2,2,5,62.7,56.0,4.7,2.98,646.0
395,0.38,2,0,5,63.0,54.0,4.61,2.92,929.0
396,1.52,2,5,3,61.7,57.0,7.38,4.56,7582.0
397,0.31,2,1,6,62.1,55.0,4.34,2.7,853.0
398,1.2,2,3,2,61.5,54.0,6.85,4.22,6160.0
399,0.51,4,3,7,60.9,57.0,5.17,3.16,1768.0
400,0.73,4,5,7,62.3,58.0,5.75,3.59,2565.0
401,2.0,4,3,2,61.9,58.0,7.98,5.01,18186.0
402,1.19,4,0,3,63.5,57.0,6.67,4.26,5562.0
403,0.24,4,3,6,62.3,57.0,3.95,2.47,336.0
404,0.23,4,2,7,59.6,57.0,3.98,2.38,530.0
405,1.32,2,0,7,59.3,59.0,7.16,4.27,15802.0
406,0.71,1,5,2,60.0,64.0,5.71,3.44,1651.0
407,0.51,2,3,4,61.0,55.0,5.21,3.15,1781.0
408,0.32,2,4,7,62.3,57.0,4.34,2.71,706.0
409,0.5,4,3,4,62.3,55.0,5.06,3.19,1592.0
410,0.46,0,0,4,67.3,61.0,4.81,3.21,1166.0
411,1.01,4,2,3,61.0,60.0,6.44,3.94,4121.0
412,0.91,0,3,5,64.9,54.0,6.04,3.93,4860.0
413,1.02,3,2,2,62.5,56.0,6.44,4.0,4884.0
414,0.55,2,4,2,62.4,57.0,5.23,3.28,1270.0
415,0.72,3,3,3,59.1,61.0,5.89,3.47,1764.0
416,0.73,4,0,5,60.5,59.0,5.76,3.51,3411.0
417,1.22,3,3,3,61.6,62.0,6.79,4.17,5226.0
418,0.31,2,5,6,62.2,53.0,4.36,2.72,557.0
419,1.24,2,3,4,61.2,56.0,6.92,4.22,9788.0
420,0.41,4,2,5,62.4,56.0,4.8,2.97,863.0
421,2.01,4,5,5,59.2,56.0,8.14,4.89,16626.0
422,0.72,2,2,4,60.7,57.0,5.79,3.54,3759.0
423,0.54,1,4,4,63.2,60.0,5.13,3.25,1361.0
424,0.23,2,2,1,59.5,58.0,4.0,2.39,530.0
